ID,Corp,Name,Surname,Gender,DOB,Current_Position,Class,Department,Section,Appointment_Date,Commencement_Date,Confirmed_Appointment,Remarks,Hours_of_Leave_Utilised
73158514L,lindsayb,William,Cardenas,M,"Saturday, June 6, 1970",Visual merchandiser,5,Operations,Logic,"Sunday, March 5, 2023","Monday, May 23, 2016",08/06/2022,Probation,82
73322141M,stanleyn,Lisa,Harper,F,"Tuesday, December 20, 2005","Designer, exhibition/display",7,HR,Admin,"Saturday, April 23, 2022","Sunday, May 7, 2023",09/04/2021,Transferred,191
73829973L,maguirre,Anna,Hopkins,F,"Wednesday, May 17, 1989",Manufacturing systems engineer,5,IT,Analysis,"Thursday, November 14, 2024","Thursday, October 27, 2016",-,Pending,184
74313291L,martinst,Jason,Herrera,M,"Saturday, July 18, 1981","Engineer, maintenance (IT)",3,IT,Support,"Sunday, November 3, 2024","Friday, May 29, 2020",02/12/2021,Not Applicable,164
74801624M,kathryn5,Jennifer,Hudson,F,"Monday, July 24, 2000","Engineer, broadcasting (operations)",4,Finance,Support,"Sunday, July 11, 2021","Wednesday, June 22, 2022",10/03/2025,Transferred,11
75011024L,andrewsj,David,Hughes,M,"Saturday, July 8, 1961",Ophthalmologist,6,IT,Support,"Saturday, January 16, 2021","Tuesday, July 12, 2022",27/11/2021,Not Applicable,17
75186363L,marcus45,Kimberly,Anderson,F,"Tuesday, March 29, 1966",Radio producer,5,Finance,Logic,"Friday, April 16, 2021","Saturday, August 5, 2017",22/10/2024,Not Applicable,137
75412126L,fgarcia,Hector,Davis,M,"Monday, November 17, 1980","Therapist, sports",3,Finance,Analysis,"Saturday, January 2, 2021","Thursday, November 12, 2020",02/06/2024,Transferred,58
75503758L,xmoran,Mike,Wilson,M,"Saturday, June 12, 2004",Environmental education officer,5,IMU,Support,"Sunday, December 3, 2023","Friday, November 13, 2020",23/07/2025,Probation,173
75869261L,rcrosby,Amanda,Wood,F,"Wednesday, May 7, 1986","Producer, radio",7,IT,Admin,"Tuesday, December 26, 2023","Friday, August 4, 2017",10/01/2024,Probation,109
77167014L,alexande,Nathaniel,Walker,M,"Wednesday, October 16, 1968",Lexicographer,4,Operations,Logic,"Wednesday, July 31, 2024","Monday, February 17, 2020",-,Transferred,98
77378263M,michelle,Rachel,Perry,F,"Saturday, March 5, 1988","Runner, broadcasting/film/video",5,Finance,Logic,"Saturday, April 22, 2023","Thursday, December 24, 2020",-,Transferred,125
78377701L,richards,Mary,Wood,F,"Thursday, July 23, 1987",Surgeon,7,Operations,Support,"Monday, July 8, 2024","Sunday, April 6, 2025",18/09/2023,Probation,142
78610357M,ethompso,Laurie,Bailey,F,"Wednesday, December 19, 1984","Development worker, community",7,Finance,Logic,"Saturday, April 29, 2023","Saturday, May 14, 2016",10/03/2024,Not Applicable,12
78755886M,molly39,Janet,Chase,F,"Saturday, December 15, 1984",Paediatric nurse,7,IMU,Support,"Tuesday, December 3, 2024","Saturday, May 21, 2022",08/03/2024,New Employee,8
79050723L,fortiz,Jennifer,Larsen,F,"Wednesday, April 22, 1981",Records manager,5,HR,Logic,"Tuesday, September 16, 2025","Saturday, June 4, 2016",11/10/2022,Probation,146
79937124L,ncook,Jamie,Atkins,F,"Monday, September 6, 1976",Printmaker,7,Finance,Analysis,"Friday, January 21, 2022","Monday, January 4, 2021",-,Probation,193
79965075L,zlewis,Deanna,Ramirez,F,"Wednesday, June 30, 1976","Therapist, occupational",6,Finance,Logic,"Friday, April 18, 2025","Monday, February 25, 2019",17/08/2021,New Employee,100
81684602M,matthewb,Steven,Hatfield,M,"Tuesday, February 20, 1973",Customer service manager,3,Finance,Admin,"Tuesday, August 3, 2021","Tuesday, March 12, 2024",24/09/2023,New Employee,90
82449353L,william4,Brandon,Henderson,M,"Thursday, March 9, 1967",Health and safety inspector,3,IMU,Logic,"Wednesday, September 27, 2023","Thursday, February 15, 2018",16/02/2023,New Employee,112
82512868M,maryavil,William,Ford,M,"Tuesday, December 7, 2004",Sport and exercise psychologist,7,IT,Analysis,"Tuesday, November 8, 2022","Monday, February 10, 2020",26/10/2024,Probation,175
83172788M,stephani,Robert,Mcclain,M,"Saturday, April 27, 1963",Physiological scientist,6,Operations,Analysis,"Sunday, April 3, 2022","Saturday, December 23, 2023",-,Transferred,179
83673657L,ublair,Jeffery,Ortega,M,"Friday, September 8, 1967",Minerals surveyor,6,HR,Analysis,"Monday, June 21, 2021","Wednesday, June 14, 2017",-,Pending,112
83842513L,eric84,Logan,Archer,M,"Thursday, November 19, 1964",Seismic interpreter,6,IMU,Support,"Tuesday, October 12, 2021","Friday, March 9, 2018",24/02/2023,Not Applicable,21
84959310M,kendraga,Savannah,Delacruz,F,"Sunday, August 1, 1982",Museum/gallery conservator,6,Finance,Analysis,"Tuesday, January 2, 2024","Saturday, September 1, 2018",19/01/2024,Probation,70
85158328L,roberthe,Brandon,Walker,M,"Saturday, November 14, 1998","Engineer, production",5,Finance,Support,"Wednesday, December 20, 2023","Monday, November 23, 2020",04/10/2022,Transferred,45
85289226M,guerraap,Eric,Martin,M,"Thursday, August 8, 1991",Equality and diversity officer,7,Finance,Support,"Wednesday, July 28, 2021","Sunday, March 1, 2020",27/07/2022,Probation,34
86578091L,wendy16,William,Hodges,M,"Monday, April 5, 1982",Chiropodist,4,IT,Admin,"Tuesday, June 13, 2023","Monday, May 23, 2016",16/04/2021,Probation,85
86629619L,jennifer,Brittany,Dawson,F,"Friday, January 3, 1992","Designer, exhibition/display",7,IT,Support,"Wednesday, December 20, 2023","Monday, September 18, 2017",05/09/2021,Not Applicable,95
86801128L,brandi26,Bethany,Parker,F,"Tuesday, December 19, 1989",Archaeologist,3,Finance,Admin,"Monday, January 9, 2023","Friday, August 25, 2017",28/11/2023,Transferred,109
86854870L,jrodrigu,Brittany,Matthews,F,"Monday, February 8, 1993",Chiropodist,3,IMU,Logic,"Tuesday, May 2, 2023","Sunday, January 5, 2025",-,Probation,178
87139718L,chavezwi,Jesus,Brown,M,"Thursday, March 25, 1982","Psychologist, counselling",7,Finance,Logic,"Monday, April 8, 2024","Wednesday, March 25, 2020",-,Pending,145
87298259M,phillipj,Ryan,Wheeler,M,"Thursday, February 20, 1992","Runner, broadcasting/film/video",6,Operations,Analysis,"Monday, September 8, 2025","Thursday, December 31, 2020",09/12/2024,Not Applicable,77
89113529L,vrasmuss,Vincent,Jordan,M,"Monday, May 14, 1984",Administrator,7,IMU,Support,"Saturday, October 15, 2022","Saturday, August 3, 2024",24/04/2025,New Employee,88
89141173M,kimberly,Valerie,Howard,F,"Sunday, January 15, 1967",Outdoor activities/education manager,5,Finance,Admin,"Saturday, March 27, 2021","Monday, March 24, 2025",14/02/2025,New Employee,192
89324609M,ashleylo,Michael,Mills,M,"Wednesday, November 27, 2002",Media planner,7,IMU,Logic,"Friday, March 22, 2024","Saturday, November 25, 2023",09/04/2021,Transferred,143
89899217L,teresast,Beth,Henderson,F,"Saturday, April 7, 1962","Presenter, broadcasting",4,HR,Admin,"Saturday, February 4, 2023","Tuesday, May 4, 2021",21/06/2021,Not Applicable,105
90104328M,srodrigu,David,Martinez,M,"Wednesday, June 6, 1990",Field trials officer,3,IT,Analysis,"Tuesday, June 8, 2021","Saturday, October 14, 2017",24/02/2025,Not Applicable,80
91065180L,ajohnson,Christopher,Taylor,M,"Monday, September 23, 1974",Petroleum engineer,6,Finance,Analysis,"Wednesday, September 18, 2024","Thursday, April 28, 2022",05/02/2024,Not Applicable,110
91901581L,catherin,James,Short,M,"Sunday, July 20, 2003",Airline pilot,3,IT,Admin,"Monday, June 9, 2025","Friday, August 23, 2019",-,New Employee,6
92644220L,xrosales,Vincent,Johnson,M,"Monday, February 3, 1975",Town planner,3,Finance,Admin,"Wednesday, September 17, 2025","Saturday, September 2, 2017",13/02/2025,New Employee,68
93333468M,wellsdav,Carrie,Owen,F,"Tuesday, June 11, 1985",Environmental manager,3,Finance,Support,"Thursday, March 30, 2023","Friday, February 10, 2023",07/02/2024,Probation,83
93465472M,vmorriso,Jose,Cameron,M,"Sunday, May 22, 1988",Sports development officer,4,Finance,Admin,"Thursday, August 11, 2022","Friday, June 21, 2019",-,Probation,98
93597820L,shepherd,William,Miller,M,"Wednesday, July 4, 1990",Drilling engineer,4,IMU,Admin,"Friday, August 16, 2024","Thursday, May 18, 2023",11/05/2025,New Employee,100
95376724M,julierya,Paul,Patterson,M,"Friday, April 5, 1974",Television production assistant,7,IT,Support,"Friday, October 7, 2022","Tuesday, April 3, 2018",27/03/2025,Transferred,16
95687833L,foxallis,Heidi,Stark,F,"Sunday, November 11, 1990",Clinical research associate,4,IMU,Admin,"Thursday, October 9, 2025","Saturday, January 11, 2025",05/03/2022,New Employee,127
96499091M,colleenb,Brad,Allen,M,"Tuesday, February 19, 1980",Sub,7,IMU,Admin,"Thursday, December 3, 2020","Monday, November 7, 2022",24/09/2024,Transferred,70
96631931L,melissa9,Robert,Knight,M,"Monday, February 16, 1981",Architectural technologist,7,Finance,Analysis,"Saturday, January 20, 2024","Friday, January 27, 2017",15/03/2025,Probation,173
97021355L,jacobser,Tiffany,Watson,F,"Thursday, October 4, 1984",Camera operator,3,Operations,Admin,"Tuesday, May 27, 2025","Tuesday, February 22, 2022",14/04/2024,Probation,115
98270808M,xglass,Tammy,Thompson,F,"Thursday, January 10, 1991",Technical sales engineer,6,HR,Admin,"Tuesday, October 12, 2021","Wednesday, June 29, 2022",21/08/2023,Transferred,59
99045301M,erik84,Melissa,Fowler,F,"Monday, March 5, 1990",Hotel manager,4,Finance,Admin,"Thursday, October 6, 2022","Sunday, March 4, 2018",19/12/2024,New Employee,56
99154788L,melissam,Cheryl,Rodriguez,F,"Sunday, March 16, 1980","Designer, textile",3,IT,Support,"Sunday, June 26, 2022","Sunday, February 21, 2016",08/10/2023,Probation,192
